Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,1.105100,1.105100,1.100700,1.101700,1.101700,0
2003-12-02,1.101600,1.102800,1.100000,1.100900,1.100900,0
2003-12-03,1.101300,1.104600,1.100200,1.101800,1.101800,0
2003-12-04,1.101900,1.108200,1.101600,1.107500,1.107500,0
2003-12-05,1.107800,1.108000,1.103600,1.103900,1.103900,0
2003-12-08,1.104400,1.107200,1.096600,1.096900,1.096900,0
2003-12-09,1.096700,1.100300,1.096200,1.097800,1.097800,0
2003-12-10,1.097900,1.099500,1.095700,1.097600,1.097600,0
2003-12-11,1.097700,1.100200,1.094800,1.096400,1.096400,0
2003-12-12,1.096100,1.096900,1.089500,1.091300,1.091300,0
2003-12-15,1.092600,1.095000,1.091700,1.092500,1.092500,0
2003-12-16,1.092200,1.098200,1.092200,1.095600,1.095600,0
2003-12-17,1.096000,1.098800,1.082100,1.084400,1.084400,0
2003-12-18,1.084300,1.089700,1.080100,1.082800,1.082800,0
2003-12-19,1.082900,1.092200,1.079800,1.086000,1.086000,0
2003-12-22,1.085900,1.090200,1.083300,1.085400,1.085400,0
2003-12-23,1.085700,1.088000,1.068200,1.078300,1.078300,0
2003-12-24,1.078200,1.080100,1.073400,1.079500,1.079500,0
2003-12-25,1.079600,1.079600,1.079600,1.079500,1.079500,0
2003-12-26,1.079400,1.079400,1.075700,1.075600,1.075600,0
2003-12-29,1.075900,1.081300,1.073400,1.076900,1.076900,0
2003-12-30,1.076300,1.078400,1.072700,1.076400,1.076400,0
2003-12-31,1.076500,1.081900,1.073900,1.075500,1.075500,0
2004-01-01,1.075600,1.076000,1.075600,1.076800,1.076800,0
2004-01-02,1.076600,1.077700,1.074500,1.075200,1.075200,0
2004-01-05,1.074000,1.077700,1.071800,1.072900,1.072900,0
2004-01-06,1.072800,1.073200,1.059500,1.062100,1.062100,0
2004-01-07,1.062200,1.064800,1.049800,1.052200,1.052200,0
2004-01-08,1.052300,1.056100,1.045000,1.050300,1.050300,0
2004-01-09,1.049800,1.054000,1.043000,1.052100,1.052100,0
2004-01-12,1.052700,1.057500,1.051600,1.056800,1.056800,0
2004-01-13,1.056200,1.068700,1.055000,1.064700,1.064700,0
2004-01-14,1.065500,1.078300,1.063800,1.072300,1.072300,0
2004-01-15,1.072300,1.075700,1.065100,1.066700,1.066700,0
2004-01-16,1.066800,1.070300,1.061300,1.065800,1.065800,0
2004-01-19,1.064700,1.065300,1.060300,1.061800,1.061800,0
2004-01-20,1.061900,1.063100,1.056100,1.056900,1.056900,0
2004-01-21,1.057000,1.064700,1.055800,1.064000,1.064000,0
2004-01-22,1.064300,1.065800,1.055500,1.057900,1.057900,0
2004-01-23,1.057800,1.064500,1.056200,1.059200,1.059200,0
2004-01-26,1.059400,1.065400,1.057900,1.060500,1.060500,0
2004-01-27,1.060400,1.065500,1.058600,1.059200,1.059200,0
2004-01-28,1.059100,1.059200,1.044200,1.047300,1.047300,0
2004-01-29,1.047500,1.048600,1.037900,1.044400,1.044400,0
2004-01-30,1.044500,1.058700,1.041300,1.052000,1.052000,0
2004-02-02,1.051200,1.059500,1.049800,1.055500,1.055500,0
2004-02-03,1.049700,1.052700,1.047600,1.049700,1.049700,0
2004-02-04,1.049100,1.052700,1.047600,1.049400,1.049400,0
2004-02-05,1.049700,1.051500,1.045500,1.049200,1.049200,0
2004-02-06,1.049000,1.049600,1.037800,1.041000,1.041000,0
2004-02-09,1.040100,1.049200,1.038600,1.046900,1.046900,0
2004-02-10,1.046800,1.051900,1.030000,1.031000,1.031000,0
2004-02-11,1.030600,1.033000,1.026500,1.027100,1.027100,0
2004-02-12,1.027200,1.035000,1.026400,1.030900,1.030900,0
2004-02-13,1.031000,1.035000,1.030200,1.032000,1.032000,0
2004-02-16,1.032600,1.043000,1.032500,1.035900,1.035900,0
2004-02-17,1.035800,1.045600,1.035500,1.041800,1.041800,0
2004-02-18,1.042000,1.047400,1.037900,1.039500,1.039500,0
2004-02-19,1.040000,1.042100,1.037300,1.039000,1.039000,0
2004-02-20,1.038700,1.043800,1.037000,1.040700,1.040700,0
2004-02-23,1.041400,1.046000,1.040600,1.043500,1.043500,0
2004-02-24,1.043500,1.046100,1.040500,1.042600,1.042600,0
